img,obj,Round obj,Rectangle obj
image_1.png,6,4,2
image_10.png,6,1,5
image_100.png,3,2,1
image_101.png,5,4,1
image_102.png,9,8,1
image_103.png,4,1,3
image_104.png,4,2,2
image_105.png,5,2,3
image_106.png,5,4,1
image_107.png,3,2,1
image_108.png,7,3,4
image_109.png,5,5,0
image_11.png,0,0,0
image_110.png,6,2,4
image_111.png,8,8,0
image_112.png,4,2,2
image_113.png,4,1,3
image_114.png,8,6,2
image_115.png,8,5,3
image_116.png,7,2,5
image_117.png,3,2,1
image_118.png,11,7,4
image_119.png,6,3,3
image_12.png,5,2,3
image_120.png,1,1,0
image_13.png,7,4,3
image_14.png,8,4,4
image_15.png,5,2,3
image_16.png,7,1,6
image_17.png,8,5,3
image_18.png,7,3,4
image_19.png,4,2,2
image_2.png,7,3,4
image_20.png,7,5,2
image_21.png,8,7,1
image_22.png,7,4,3
image_23.png,3,2,1
image_24.png,5,4,1
image_25.png,3,3,0
image_26.png,4,2,2
image_27.png,3,1,2
image_28.png,6,2,4
image_29.png,4,4,0
image_3.png,7,3,4
image_30.png,4,2,2
image_31.png,7,5,2
image_32.png,5,2,3
image_33.png,5,3,2
image_34.png,5,4,1
image_35.png,9,6,3
image_36.png,7,4,3
image_37.png,5,3,2
image_38.png,6,6,0
image_39.png,5,4,1
image_4.png,3,3,0
image_40.png,5,4,1
image_41.png,7,4,3
image_42.png,4,2,2
image_43.png,5,5,0
image_44.png,9,4,5
image_45.png,6,3,3
image_46.png,6,4,2
image_47.png,6,3,3
image_48.png,5,2,3
image_49.png,8,6,2
image_5.png,7,2,5
image_50.png,7,6,1
image_51.png,4,3,1
image_52.png,4,2,2
image_53.png,7,6,1
image_54.png,7,5,2
image_55.png,6,3,3
image_56.png,8,4,4
image_57.png,4,1,3
image_58.png,6,3,3
image_59.png,6,4,2
image_6.png,5,2,3
image_60.png,5,0,5
image_61.png,5,3,2
image_62.png,7,5,2
image_63.png,9,6,3
image_64.png,4,0,4
image_65.png,2,1,1
image_66.png,6,2,4
image_67.png,6,5,1
image_68.png,6,6,0
image_69.png,9,5,4
image_7.png,5,3,2
image_70.png,9,4,5
image_71.png,8,5,3
image_72.png,2,0,2
image_73.png,5,2,3
image_74.png,6,2,4
image_75.png,9,3,6
image_76.png,7,3,4
image_77.png,7,5,2
image_78.png,6,4,2
image_79.png,7,5,2
image_8.png,7,3,4
image_80.png,6,4,2
image_81.png,2,1,1
image_82.png,3,1,2
image_83.png,6,3,3
image_84.png,7,4,3
image_85.png,10,5,5
image_86.png,9,5,4
image_87.png,5,0,5
image_88.png,7,5,2
image_89.png,4,4,0
image_9.png,2,0,2
image_90.png,5,3,2
image_91.png,6,2,4
image_92.png,7,2,5
image_93.png,4,3,1
image_94.png,6,1,5
image_95.png,8,5,3
image_96.png,6,2,4
image_97.png,4,3,1
image_98.png,6,4,2
image_99.png,4,2,2
